"field","review_value"
"evidence_question","Which review question exposes a gap between policy language and operating evidence?"
"source_fact","system steward retained review register for p03-src-009006"
"relationship","AC-27 relates to evidence set 184"
"risk_reference","RISK-031"
"evidence_instrument","data-classification note"
"review_observation","the control boundary was explained in practical terms"
"challenge_performed","a duplicated statement was not accepted as independent corroboration"
"review_profile","the evidence set was collected before the approval meeting; the evidence custodian confirmed the record boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained with the decision record; the exception path was not invoked; the reviewer found no handover impact; the decision was suitable for targeted follow-up; the source chronology contained a reconciled late entry; the control claim was independently corroborated; the review boundary excluded unavailable material; the next assurance trigger is the scheduled review; the disposition was communicated to the independent reviewer; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample","A single approval cannot settle a conflicting record; the discrepancy must remain visible to the reviewer."
"decision_rule","Treat the control as effective only when the counterexample has been considered and the exception path is explicit."
"disposition","accepted with a retained review note"
"operating_boundary","No Kio capability is used or required for this offline review."
"review_date","2026-07-14"
